id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement,nb_rapports_inspection
53325157,SOCIETE CIVILE DU CHATEAU PAVEIL,SOCIETE CIVILE DU CHATEAU PAVEIL,,SOCIETE CIVILE DU CHATEAU PAVEIL,33517,Soussans,243301447,CC Médoc Estuaire,"45.054982, -0.724748","{""coordinates"": [-0.724748, 45.054982], ""type"": ""Point""}",2519,32204408200020,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-03-12T00:00:00+01:00,2025,0
100027051,DUPOUY Didier,DUPOUY Didier,,DUPOUY Didier,33197,Guillos,200069581,CC Convergence Garonne,"44.55179, -0.521746","{""coordinates"": [-0.521746, 44.55179], ""type"": ""Point""}",2700,83467850000010,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0100027051,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-08-31T00:00:00+02:00,2025,2
5211682,DOMOFRANCE,DOMOFRANCE,Bordeaux,DOMOFRANCE — Bordeaux,33063,Bordeaux,243300316,Bordeaux Métropole,"44.852911, -0.571086","{""coordinates"": [-0.571086, 44.852911], ""type"": ""Point""}",1672,45820496300037,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211682,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,2025-02-10T00:00:00+01:00,2025,0
5211418,LIZOT,LIZOT,,LIZOT,33033,Baurech,243301439,CC des Portes de l'Entre-Deux-Mers,"44.727046, -0.43289","{""coordinates"": [-0.43289, 44.727046], ""type"": ""Point""}",1625,,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025,1
3103154,ROUMAGE ALAIN,ROUMAGE ALAIN,,ROUMAGE ALAIN,33413,Saint-Germain-du-Puch,200070092,CA du Libournais,"44.851865, -0.331561","{""coordinates"": [-0.331561, 44.851865], ""type"": ""Point""}",137,34083123900025,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003103154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-02-10T00:00:00+01:00,2025,0
5211439,EPG,EPG,Ambès — Lieu-dit La Gragnodère (#1),EPG — Ambès — Lieu-dit La Gragnodère (#1),33004,Ambès,243300316,Bordeaux Métropole,"44.996085, -0.547814","{""coordinates"": [-0.547814, 44.996085], ""type"": ""Point""}",1627,38016697500025,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211439,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,2025-02-10T00:00:00+01:00,2025,1
53320067,RAVET JACKY,RAVET JACKY,,RAVET JACKY,33142,Cubnezais,243301181,CC Latitude Nord Gironde,"45.069981, -0.415802","{""coordinates"": [-0.415802, 45.069981], ""type"": ""Point""}",2341,32868873400016,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320067,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
5201079,LALANNE - Le Pian M. (Cartouche),LALANNE,Le Pian M. (Cartouche),LALANNE — Le Pian M. (Cartouche),33322,Le Pian-Médoc,243301447,CC Médoc Estuaire,"44.938042, -0.700897","{""coordinates"": [-0.700897, 44.938042], ""type"": ""Point""}",740,34370878000014,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201079,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
5212671,CHATEAU LE BOURDIEU VERTHEUIL,CHATEAU LE BOURDIEU VERTHEUIL,,CHATEAU LE BOURDIEU VERTHEUIL,33545,Vertheuil,200069995,CC Médoc Coeur de Presqu'île,"45.253914, -0.841359","{""coordinates"": [-0.841359, 45.253914], ""type"": ""Point""}",1923,35381122700019,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212671,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-02-10T00:00:00+01:00,2025,0
5206649,SCREG - St Denis de Pile,SCREG,St Denis de Pile,SCREG — St Denis de Pile,33393,Saint-Denis-de-Pile,200070092,CA du Libournais,"45.000422, -0.193229","{""coordinates"": [-0.193229, 45.000422], ""type"": ""Point""}",1117,31458382400102,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206649,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,2025-02-10T00:00:00+01:00,2025,0
