codeAiot;raisonSociale;"adresse1";"adresse2";"adresse3";codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url
"0005204939";"LEFEBVRE Jean - Mios";"Aire de Beauchamps";;;"33380";"33284";Mios;;"31574951500047";387955;6397317;"2154";-0.933892;44.604971;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005204939"
"0003106787";"ELECTRIC STATION - BOSCH Service";"199 avenue de Lattre de Tassigny";;;"33470";"33199";"Gujan-Mestras";"45";"32160690700012";375375;6395995;"2154";-1.091344;44.587333;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106787"
"0005206314";"COLAS France";"37 avenue de la Gravière";"Les Landes de Pouyere";;"33990";"33300";"Naujac-sur-Mer";"42";"32933888301631";386583;6471761;"2154";-0.998644;45.273765;false;false;false;true;false;false;false;"Non Seveso";false;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206314"
"0005207271";"MALET-St-Seurin sur l'Isle";;;;"33660";"33478";"Saint-Seurin-sur-l'Isle";"42";"30269887300015";463639;6439303;"2154";-0.000922;45.012534;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207271"
"0005212244";"Ville de Bordeaux -JKG";"23 - 27 rue Baour";;;"33000";"33063";Bordeaux;;;417958;6423461;"2154";-0.571086;44.852911;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212244"
"0005206114";"PANOFRANCE-VISCONTI";"149 Quai de la Souys";;;"33270";"33167";Floirac;;"31277303900010";420879;6419637;"2154";-0.531987;44.8197;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206114"
"0005214128";"GIRET Eric";"Au Breuillet-Est";"parcelle ZM 139";;"33230";"33001";Abzac;;;452917;6438494;"2154";-0.136505;45.001505;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005214128"
"0005200777";"MAIRIE - Gensac";Rocanguille;;;"33890";"33186";Gensac;;"21330186400012";468251;6415564;"2154";0.068762;44.80051;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200777"
"0053321136";"SARL CHATEAU CAP DE FAUGERES";"LD FAUGERE";;;"33350";"33390";"Sainte-Colombe";"01";"51898537900016";456869;6424816;"2154";-0.079621;44.879849;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0053321136"
"0005200590";LESIEUR;"112, Quai de Bacalan";"BP  240";;"33000";"33063";Bordeaux;"10";"45720861900108";419496;6424353;"2154";-0.552146;44.861558;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200590"
"0005200677";"S.A.R.L. LABADIE";"Chemin de Lissandre";;;"33150";"33119";Cenon;"38";"38424374700019";420598;6424187;"2154";-0.538116;44.860511;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200677"
"0005200367";"TESTOUTIL S.A.";"ZI de Bazas";"10 cours Guillaume Arnaud de Tontoulon";;"33430";"33036";Bazas;;"30773744500014";442600;6376455;"2154";-0.235078;44.439681;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200367"
"0005207673";"GLP CESTAS SCI (ex BERMIE NAUTIC)";"Zone industrielle Auguste II";;;"33610";"33122";Cestas;"68";"91113090400012";405772;6414258;"2154";-0.719671;44.76508;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207673"
"0005213863";"Société Brédoise de Service";"Lieu-dit Argilas le long de la D111 parcelle D33";;;"33650";"33501";Saucats;"01";"32145865500032";413316;6401544;"2154";-0.617076;44.653894;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213863"
"0005206651";"AUBERTIE Bernard";"51 Boulevard Feydeau";;;"33370";"33013";"Artigues-près-Bordeaux";"45";"35368970600011";424905;6423088;"2154";-0.483033;44.852349;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206651"
"0005205109";KURITA;"Zone Industrielle du Bec d'Ambès";AMBES;;"33810";"33035";Ambès;"20";"80883153100062";416529;6444131;"2154";-0.601082;45.03824;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005205109"
