codeAiot;raisonSociale;adresse1;adresse2;adresse3;codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url;structure;etablissement;libelle_complet;nom_commune;epci_siren;epci_nom
0005201162;CASIMIR - St Denis de Pile;;;;33910;33393;Saint-Denis-de-Pile;;;447556;6437790;2154;-0.204122;44.993234;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201162;CASIMIR;St Denis de Pile;CASIMIR — St Denis de Pile;Saint-Denis-de-Pile;200070092;CA du Libournais
0005207488;EPINETTE;Pont de  Canaulet;;;33380;33051;Biganos;41;38520484700045;389582;6403198;2154;-0.917089;44.658578;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207488;EPINETTE;;EPINETTE;Biganos;243301504;CA du Bassin d'Arcachon Nord (COBAN)
0003103725;Eric CAILLAUD;2 route du basque;;;33141;33548;Villegouge;;;438998;6435609;2154;-0.311458;44.970435;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003103725;Eric CAILLAUD;;Eric CAILLAUD;Villegouge;243301397;CC du Fronsadais
0003100056;DE ONFFROY ROLAND;CHATEAU LAROCHE;;;33710;33525;Tauriac;01;40018794400014;424783;6445387;2154;-0.497072;45.052876;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003100056;DE ONFFROY ROLAND;;DE ONFFROY ROLAND;Tauriac;243301223;CC du Grand Cubzaguais
0003106751;TOUTOU 33-VIDAL Stéphane - BRUNETIER Marine;1665 lieu dit AU CHAVAN;;;33620;33233;Laruscade;;;437402;6452618;2154;-0.340808;45.122841;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106751;TOUTOU 33-VIDAL Stéphane;BRUNETIER Marine;TOUTOU 33-VIDAL Stéphane — BRUNETIER Marine;Laruscade;243301181;CC Latitude Nord Gironde
0053320584;SCA CAVE LOUIS VALLON;36 AV DE LA MAIRIE;;;33350;33460;Saint-Pey-de-Castets;11;78200240600018;457029;6417738;2154;-0.074108;44.816228;false;false;false;false;false;true;false;Non Seveso;false;DDPP 33;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320584;SCA CAVE LOUIS VALLON;Saint-Pey-de-Castets;SCA CAVE LOUIS VALLON — Saint-Pey-de-Castets;Saint-Pey-de-Castets;243301454;CC Castillon/Pujols
0100013492;AMBC (AQUITAINE MENUISERIE BOIS CONCEPT);7 lieu-dit les Bernards;ZA Pont de Cotet;;33620;33439;Saint-Mariens;;43479059800032;431410;6452487;2154;-0.416873;45.119354;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100013492;AMBC (AQUITAINE MENUISERIE BOIS CONCEPT);;AMBC (AQUITAINE MENUISERIE BOIS CONCEPT);Saint-Mariens;243301181;CC Latitude Nord Gironde
0003106377;LAFON SAS;44, avenue Lucien-Victor Meunier;;;33530;33032;Bassens;25;78178218000033;421928;6429095;2154;-0.524068;44.905191;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106377;LAFON SAS;;LAFON SAS;Bassens;243300316;Bordeaux Métropole
0005206913;FRADIN SAS;61, rue du Château d'Eau;;;33000;33063;Bordeaux;70;35179316100016;416955;6421793;2154;-0.58281;44.8375;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206913;FRADIN SAS;;FRADIN SAS;Bordeaux;243300316;Bordeaux Métropole
0003102816;FERNANDES ALDINO;38 bis route de Bordeaux;;;33830;33042;Belin-Béliet;42;90117028200015;400189;6382881;2154;-0.771214;44.48054;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102816;FERNANDES ALDINO;;FERNANDES ALDINO;Belin-Béliet;243301405;CC du Val de l'Eyre
0005211084;RENAULT TRUCKS AQUITAINE;Avenue Descartes;Zone industrielle;;33370;33013;Artigues-près-Bordeaux;;77558600100031;424139;6423672;2154;-0.493046;44.857297;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211084;RENAULT TRUCKS AQUITAINE;;RENAULT TRUCKS AQUITAINE;Artigues-près-Bordeaux;243300316;Bordeaux Métropole
0053326412;EARL BOUCHARDEAU ET FILS;Domaine de Cazères;;;33550;33549;Villenave-de-Rions;01;34470956300011;435638;6404619;2154;-0.337429;44.690398;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053326412;EARL BOUCHARDEAU ET FILS;;EARL BOUCHARDEAU ET FILS;Villenave-de-Rions;243301215;CC du Créonnais
0005213256;DASSAULT FALCON SERVICE;106 Avenue Marcel Dassault;;;33700;33281;Mérignac;;67980188600038;407049;6423401;2154;-0.708976;44.847845;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213256;DASSAULT FALCON SERVICE;;DASSAULT FALCON SERVICE;Mérignac;243300316;Bordeaux Métropole
0053320800;SOC EXPLOITATION CHATEAU GISCOURS;Château Giscours;;;33460;33211;Labarde;;47220071600018;412850;6441044;2154;-0.645942;45.008955;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320800;SOC EXPLOITATION CHATEAU GISCOURS;;SOC EXPLOITATION CHATEAU GISCOURS;Labarde;243301447;CC Médoc Estuaire
0003105270;JANINAZZI Eric et Christine;Lieu-dit Fauroux;Parcelle ZI 174;;33760;33258;Lugasson;;;450126;6411557;2154;-0.158227;44.758171;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003105270;JANINAZZI Eric et Christine;;JANINAZZI Eric et Christine;Lugasson;200069599;CC Rurales de l'Entre-Deux-Mers
0005200353;Union INVIVO Bassens (terre);Quai Alfred de Vial;;;33530;33032;Bassens;;77569019100108;420573;6430308;2154;-0.541907;44.915555;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200353;Union INVIVO Bassens (terre);;Union INVIVO Bassens (terre);Bassens;243300316;Bordeaux Métropole
0005206187;REGIE DE L'EAU BORDEAUX METROPOLE (ex LYONNAISE DES EAUX);Station Saussette;110 chemin de Saucette;;33850;33238;Léognan;36;89513467400020;413478;6410754;2154;-0.620359;44.73679;false;false;false;false;false;true;true;Non Seveso;false;DREAL NA;En exploitation avec titre;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206187;REGIE DE L'EAU BORDEAUX METROPOLE (ex LYONNAISE DES EAUX);;REGIE DE L'EAU BORDEAUX METROPOLE (ex LYONNAISE DES EAUX);Léognan;243301264;CC de Montesquieu
0005212417;CHATEAU DE BIDALET;DOMAINE DE BIDALET;2 BIDALET OUEST;;33490;33367;Saint-André-du-Bois;01;31984352000010;447050;6394785;2154;-0.188508;44.606185;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212417;CHATEAU DE BIDALET;;CHATEAU DE BIDALET;Saint-André-du-Bois;200043974;CC du Sud Gironde
0005207821;TRA_STARTER (TRESSES RECUP AUTO SARL);26 Avenue du Périgord;Le Flamand;;33370;33535;Tresses;38;34330427500039;426380;6424359;2154;-0.465088;44.864365;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207821;TRA_STARTER (TRESSES RECUP AUTO SARL);;TRA_STARTER (TRESSES RECUP AUTO SARL);Tresses;243301355;CC les Coteaux Bordelais
