codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005200361";"2713";"Métaux et déchets de métaux (transit)";"2";Déclaration;"999.000";"m2";"01/03/2024"
"0005200361";"3520";"pour les déchets dangereux";b;Autorisation;"500.000";"t/j";"01/03/2024"
"0005200361";"2771";"Traitement thermique de déchets non dangereux";;Autorisation;;;"01/03/2024"
"0005200361";"4725";"Oxygène (numéro CAS 7782-44-7)";"2";Déclaration;;;"01/03/2024"
"0005200361";"3510";"Traitement de déchets dangereux";;Autorisation;"10.000";"t/j";"02/05/2013"
"0005200361";"1630";"Soude ou potasse caustique";"2";Déclaration;"123.000";t;"01/03/2024"
"0005200361";"2790";"Traitement de déchets dangereux";;Autorisation;;;"01/03/2024"
"0005200361";"2770";"Traitement thermique de déchets dangereux";;Autorisation;;;"01/03/2024"
"0005200361";"2716";"déchets non dangereux non inertes (transit)";"2";"Déclaration avec contrôle";"140.000";"m3";"01/03/2024"
"0005200361";"3550";"stockage temporaire de déchets";;Autorisation;"5400.000";t;"01/03/2024"
"0005211411";"1510";"Entrepot enregistré";"2.b";Enregistrement;"270945.0";"m3";
"0005206331";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"2000.000";"m2";"21/06/2016"
"0005206331";"2716";"déchets non dangereux non inertes (transit)";"1";Enregistrement;"45000.000";"m3";"21/06/2016"
"0005206331";"2713";"Métaux et déchets de métaux (transit)";"2";Déclaration;"500.000";"m2";"21/06/2016"
"0005200812";"2940";"Vernis, peinture, colle, ... (application, cuisson, séchage)";"1.b";"Déclaration avec contrôle";"116.000";L;"24/10/2016"
"0005200812";"4120";"Toxicité aiguë catégorie 2";"2.a";Autorisation;"20.020";t;"24/10/2016"
"0005200812";"2915";"Chauffage (procédé de) fluide caloporteur organique combustible";"2";Déclaration;"3900.000";L;"24/10/2016"
"0005200812";"2921";"Installations de refroidissement évaporatif";"1.a";Enregistrement;"16421.500";kW;"24/10/2016"
"0005200812";"4801";"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses";"2";Déclaration;"70.000";t;"24/10/2016"
"0005200812";"2940";"Vernis, peinture, colle, ... (application, cuisson, séchage)";"2.a";Enregistrement;"101.000";"kg/j";"24/10/2016"
"0005200812";"4120";"Toxicité aiguë catégorie 2";"3.b";Déclaration;"0.640";t;"24/10/2016"
"0005200812";"4411";"Substances et mélanges autoréactifs type C, D, E ou F";"2";Déclaration;"1.120";t;"24/10/2016"
"0005200812";"2560";"Supérieure à 1 000 kW";"1";Enregistrement;"1152.600";kW;"24/10/2016"
"0005200812";"2321";"Atelier de fabrication de tissus, ...";;Déclaration;"101.000";kW;"24/10/2016"
"0005200812";"4140";"Toxicité aiguë catégorie 3 pour la voie d'exposition orale";"2.b";Déclaration;"1.610";t;"24/10/2016"
"0005200812";"4718";"Gaz inflammables liquéfiés de catégorie 1 et 2";"2";"Déclaration avec contrôle";;;"24/10/2016"
"0005200812";"2564";"Supérieur à 1 500 l";"1.a";Enregistrement;"21230.000";l;"24/10/2016"
